Customer_ID,Customer_Name,Age,Gender,City,State,Customer_Segment,Occupation,Monthly_Income,Account_Open_Year,Preferred_Payment_Mode,Preferred_Device
CUST0001,Gautam Bajwa,37,Male,Chennai,Tamil Nadu,Business,Consultant,106094,2018,Net Banking,Tablet
CUST0002,Christopher Vala,20,Female,Chennai,Tamil Nadu,Student,College Student,73824,2016,Debit Card,Tablet
CUST0003,David Wali,33,Female,Kolkata,West Bengal,Business,Trader,95908,2024,UPI,Mobile
CUST0004,Ronith Pandey,29,Female,Bengaluru,Karnataka,Business,Trader,244824,2019,Credit Card,Laptop
CUST0005,Chanchal Yohannan,22,Female,Ahmedabad,Gujarat,Student,Medical Student,16340,2016,Credit Card,Laptop
CUST0006,Akshay Rajagopal,21,Male,Jaipur,Rajasthan,Student,College Student,90684,2014,Credit Card,Tablet
CUST0007,Pratyush Bhandari,57,Male,Hyderabad,Telangana,Business,Trader,49179,2023,Credit Card,Laptop
CUST0008,Vansha Kade,65,Female,Jaipur,Rajasthan,Senior Citizen,Retired Government Officer,38360,2016,Net Banking,Tablet
CUST0009,Kamya Oommen,24,Female,Ahmedabad,Gujarat,Student,Medical Student,30858,2023,Credit Card,Mobile
CUST0010,Frederick Bajaj,21,Female,Pune,Maharashtra,Student,Medical Student,20431,2023,Credit Card,Laptop
CUST0011,Girik Dixit,53,Female,Mumbai,Maharashtra,Salaried,Data Analyst,167962,2013,Debit Card,Laptop
CUST0012,Noah Swamy,25,Male,Mumbai,Maharashtra,Student,College Student,43735,2025,Credit Card,Tablet
CUST0013,Nirja Bhat,22,Male,Lucknow,Uttar Pradesh,Student,College Student,225135,2026,UPI,Mobile
CUST0014,Dakshesh Bhakta,67,Male,Jaipur,Rajasthan,Senior Citizen,Retired Teacher,199491,2017,UPI,Tablet
CUST0015,Tanmayi Sahota,78,Male,Pune,Maharashtra,Senior Citizen,Retired Army Officer,75306,2021,Debit Card,Mobile
CUST0016,Chandresh Dani,23,Female,Jaipur,Rajasthan,Student,Medical Student,219535,2012,Net Banking,Tablet
CUST0017,Utkarsh Sarkar,19,Female,Jaipur,Rajasthan,Student,MBA Student,122082,2022,Net Banking,Mobile
CUST0018,Bahadurjit Sunder,24,Female,Chennai,Tamil Nadu,Salaried,Data Analyst,227191,2023,UPI,Mobile
CUST0019,Nathaniel Bail,74,Male,Ahmedabad,Gujarat,Senior Citizen,Retired Teacher,178734,2016,Credit Card,Mobile
CUST0020,Nandini Pillai,42,Female,Delhi,Delhi,Business,Business Owner,123218,2012,UPI,Laptop
CUST0021,Laksh Gour,57,Female,Mumbai,Maharashtra,Salaried,Teacher,57695,2022,Debit Card,Laptop
CUST0022,Lohit Wable,32,Male,Kolkata,West Bengal,Business,Retailer,241531,2024,Debit Card,Mobile
CUST0023,Champak Goyal,78,Female,Delhi,Delhi,Senior Citizen,Retired Banker,219498,2015,Net Banking,Laptop
CUST0024,Abhiram Behl,80,Male,Lucknow,Uttar Pradesh,Senior Citizen,Retired Teacher,36767,2024,Net Banking,Mobile
CUST0025,Dominic Kalla,44,Male,Lucknow,Uttar Pradesh,Business,Retailer,39824,2022,UPI,Tablet
CUST0026,Omya Ratti,60,Female,Lucknow,Uttar Pradesh,Business,Retailer,146120,2014,Credit Card,Tablet
CUST0027,Yuvraj Bhandari,31,Male,Mumbai,Maharashtra,Business,Restaurant Owner,190112,2012,Net Banking,Mobile
CUST0028,Ishwar Dube,71,Male,Chennai,Tamil Nadu,Senior Citizen,Retired Government Officer,35720,2019,Credit Card,Mobile
